Text,class_label
"The president always has the right, and always has had the right, for preemptive strike.",Yes
"We have 13,000 strategic nuclear warheads right now on land, on sea and in the air, enough to blow up the Soviet Union forty times over.",Yes
"And we were -- we were opposed by the administration, another area where I differed with this administration.",Yes
"Which I think the American people would like to understand fully, it's been investigated to a degree, but -- but the administration has carried out executive privilege to prevent all of the information from coming out.",Yes
"The Soviet Union has been engaged in the biggest military buildup in the history of man at the same time that we tried the policy of unilateral disarmament, of weakness, if you will.",Yes
And they went out and bought up these mortgages.,Yes
And that composite now is going to be built around the bridges on the Santa Monica Freeway to help minimize the impact of earthquakes and create more jobs.,Yes
"Because what I saw what they did, which is a criminal act, by the way, where they're telling people to go out and start fist-fights and start violence.",Yes
"The program that was put forward this summer, after we broke off the sugar quota with Cuba, really was done because we wanted to get through the O.A.S.",Yes
But the dynamics of the economy - we cut the taxes and revenues are up by 25 percent in three years.,Yes
"Instead of listening to him, they retired him.",Yes
Fewer water complaints since I've been the president.,Yes
We have the most expensive health care system in the world.,Yes
"And furthermore, under this administration, spending has increased more than it has in the last 20 years and he asked Congress to spend more money than it actually spent.",Yes
"The federal government has been reduced in size by more than 300,000 people.",Yes
"What I've said is we're going to encourage democracy in Pakistan, expand our nonmilitary aid to Pakistan so that they have more of a stake in working with us, but insisting that they go after these militants.",Yes
But they did an article which had me totally against the war in Iraq.,Yes
"And not to mention that we are still spending $10 billion a month, when they have a $79 billion surplus, at a time when we are in great distress here at home, and we just talked about the fact that our budget is way overstretched and we are borrowing money from overseas to try to finance just some of the basic functions of our government.",Yes
"Well, had we joined the Kyoto treaty, which I guess he's referring to, it would have cost America a lot of jobs.",Yes
There are no more than a handful of American military personnel in Haiti now.,Yes
"While they didn't talk at all, the fuel rods came out, the inspectors were kicked out, the television cameras were kicked out.",Yes
And we are winning in Iraq.,Yes
"But this is a man who has called women pigs, slobs and dogs, and someone who has said pregnancy is an inconvenience to employers, who has said...",Yes
We imported today 2 million barrels of oil less than we did the same date just a year ago.,Yes
"That is wholly wrong, wholly in error, and it is a fact that in the last eight years the Democratic Congress has reduced the appropri- the requests for the appropriations by over ten billion dollars.",Yes
Ninety-nine United States senators voted for it.,Yes
But it asked the wealthiest Americans to pay a little more.,Yes
I'm totally focussed on the fact that we are still evading the issue of the Glaspie papers.,Yes
"... about a potential nuclear -- nuclear competition in Asia, you said, you know, go ahead, enjoy yourselves, folks.",Yes
"But when she left, when she took everybody out, we lost Mosul.",Yes
"Governor Bush is for vouchers, and in his plan he proposes to drain more money, more taxpayer money out of the public schools for private school vouchers than all of the money that he proposes in his entire budget for public schools themselves.",Yes
"If you change your job, you're going to be covered.",Yes
We've got to make things here.,No
"In order for the sanctions to be effective, we should have been working with the British, French and Germans and other countries.",No
"But I will tell you, I sat there...",No
"You have to work on this day in and day out, every month ,every year, every issue, to make sure that we have not only free trade but fair trade.",No
We must stand for our ideals.,No
The United States must maintain a defense capability of the Panama Canal.,No
"I've done that with moderation, with care, with thoughtfulness; sometimes consulting experts.",No
"And until we do, Americans here at home are not going to be safe.",No
"It's one thing to be certain, but you can be certain and be wrong.",No
"We can a big share of it, but we've got to have more help from our friends abroad; and these three factors, I think, will be very helpful in reversing the gold flow which you spoke about.",No
The Soviets take out more than we do and the principle of intrusive verification.,No
We have too much polling and focus groups going on in Washington today.,No
"And believe me: The day Obama goes off, and he leaves, and goes out to the golf course for the rest of his life to play golf, when they raise interest rates, you're going to see some very bad things happen, because the Fed is not doing their job.",No
With decent and affordable healthcare for all working families.,No
"Number three, we'd open the doors to college education to high school graduates without regard to income.",No
"They bring their crops in or their livestock in, many of them about the same time.",No
Democrats and Republicans said Bob Dole's word is good.,No
But I also know how to lead those alliances.,No
But the reason for that is obvious.,No
We don't know what the world is going to throw at us down the road.,No
"We need a strong economic package; we need a tax cut; we need the $500 child credit, and we'll have that soon.",No
"I wasn't happy when we found out there wasn't weapons, and we've got an intelligence group together to figure out why.",No
And that's why I've proposed what I think is a fair and a responsible proposal that helps protect these people who've already got no relief or actually got a tax increase.,No
It doesn't uh - make a determination as to how uh - that relationship should be achieved in relationship to our current uhh - diplomatic recognition and obligations to the Taiwanese Government.,No
You can be on welfare.,No
"No, the way to win this is to be steadfast and resolved and to follow through on the plan that I've just outlined.",No
But those are the choices the next president of the United States is going to have to make.,No
"As to Ferdinand Marcos, he isn't there any more.",No
But let me talk about something that the president just sort of finished up with.,No
"He and I haven't spoken, and I disagree.",No
"I mean, I think in general, let's talk about these issues.",No
But this is locker room talk.,No
